Date,Open,High,Low,Close,Volume,Currency
2021-01-19,0.28539,0.32793,0.28409,0.29455,2073966208,USD
2021-01-20,0.29453,0.31044,0.28041,0.29531,1501615744,USD
2021-01-21,0.29531,0.3072,0.26051,0.2681,1633862528,USD
2021-01-22,0.2681,0.27818,0.24165,0.27261,1488768256,USD
2021-01-23,0.27246,0.28303,0.26572,0.27166,798564096,USD
2021-01-24,0.27163,0.27781,0.26863,0.2732,645083392,USD
2021-01-25,0.2732,0.2839,0.26709,0.26758,837930880,USD
2021-01-26,0.26758,0.27082,0.25809,0.26841,636908992,USD
2021-01-27,0.26841,0.26861,0.24441,0.25073,773601920,USD
2021-01-28,0.25073,0.26998,0.24728,0.26415,765960384,USD
2021-01-29,0.26414,0.31664,0.26038,0.28278,3048026112,USD
2021-01-30,0.28278,0.50882,0.27879,0.44304,9311076352,USD
2021-01-31,0.44329,0.50775,0.39005,0.49493,6964787200,USD
2021-02-01,0.49493,0.75358,0.36151,0.37163,13389353984,USD
2021-02-02,0.37163,0.41071,0.34132,0.3723,3526702848,USD
2021-02-03,0.3723,0.41699,0.3723,0.39726,2252051456,USD
2021-02-04,0.39726,0.47971,0.38069,0.44427,3587322880,USD
2021-02-05,0.44454,0.47078,0.42631,0.45182,2407479552,USD
2021-02-06,0.45182,0.45593,0.42685,0.44274,1313342976,USD
2021-02-07,0.44275,0.45029,0.39789,0.41842,1754998400,USD
2021-02-08,0.41842,0.46672,0.4128,0.45084,1820425856,USD
2021-02-09,0.45084,0.48937,0.44989,0.47643,1992299264,USD
2021-02-10,0.47644,0.53982,0.45342,0.50472,3357795584,USD
2021-02-11,0.50472,0.53505,0.5015,0.52817,1528052736,USD
2021-02-12,0.52817,0.61897,0.51961,0.60892,2582696960,USD
2021-02-13,0.60892,0.64209,0.54769,0.63303,2481556736,USD
2021-02-14,0.63352,0.63792,0.5652,0.59252,1594535680,USD
2021-02-15,0.59245,0.60394,0.51117,0.54939,2034007552,USD
2021-02-16,0.54939,0.57897,0.48621,0.51956,1780567296,USD
2021-02-17,0.51987,0.55588,0.49378,0.53396,1413482496,USD
2021-02-18,0.53435,0.55951,0.52141,0.53061,1119452800,USD
2021-02-19,0.53193,0.57905,0.51489,0.56325,1602963328,USD
2021-02-20,0.56483,0.58113,0.4752,0.512,1896244864,USD
2021-02-21,0.512,0.55726,0.50521,0.54393,1483587200,USD
2021-02-22,0.54393,0.64615,0.51627,0.56581,5425606656,USD
2021-02-23,0.56581,0.5706,0.3672,0.4749,4219387648,USD
2021-02-24,0.47613,0.49934,0.45168,0.46923,1555545984,USD
2021-02-25,0.46849,0.48146,0.42599,0.43561,1083156608,USD
2021-02-26,0.43592,0.45033,0.413,0.42783,1419848064,USD
2021-02-27,0.42784,0.45794,0.42778,0.43574,896320960,USD
2021-02-28,0.43578,0.43789,0.3934,0.41528,1052135168,USD
2021-03-01,0.41566,0.45262,0.41226,0.44551,927260800,USD
2021-03-02,0.44546,0.45414,0.42297,0.43582,920488256,USD
2021-03-03,0.43582,0.46723,0.4314,0.44844,917028288,USD
2021-03-04,0.44844,0.4938,0.43623,0.48088,1831149952,USD
2021-03-05,0.48091,0.48278,0.44664,0.45501,1168359680,USD
2021-03-06,0.45498,0.47019,0.44991,0.46296,575652736,USD
2021-03-07,0.46296,0.46863,0.45734,0.46532,505070880,USD
2021-03-08,0.46532,0.48757,0.45533,0.47358,1003577984,USD
2021-03-09,0.47403,0.48656,0.47178,0.48499,685952064,USD
2021-03-10,0.48499,0.48804,0.456,0.46158,867452544,USD
2021-03-11,0.46158,0.4641,0.44103,0.45155,752185024,USD
2021-03-12,0.45189,0.46385,0.42505,0.43941,969062848,USD
2021-03-13,0.43938,0.46506,0.43274,0.4577,815652736,USD
2021-03-14,0.45768,0.4615,0.4393,0.4393,609221888,USD
2021-03-15,0.43909,0.4481,0.42346,0.43568,805420032,USD
2021-03-16,0.43568,0.51976,0.42752,0.46037,2299800832,USD
2021-03-17,0.46037,0.48159,0.45443,0.47,913271424,USD
2021-03-18,0.46999,0.4903,0.46582,0.46885,837867200,USD
2021-03-19,0.46885,0.47489,0.45977,0.46669,529829888,USD
2021-03-20,0.46655,0.54965,0.46472,0.52446,1848612480,USD
2021-03-21,0.5246,0.54625,0.49578,0.5167,1386487424,USD
2021-03-22,0.51653,0.59954,0.5024,0.54414,2712875776,USD
2021-03-23,0.54408,0.59555,0.53828,0.55045,1774983680,USD
2021-03-24,0.55045,0.56235,0.45393,0.48213,1557698560,USD
2021-03-25,0.48011,0.5239,0.46029,0.51085,1555010944,USD
2021-03-26,0.51085,0.5752,0.51046,0.56304,1297745536,USD
2021-03-27,0.56344,0.57414,0.53451,0.54789,738338048,USD
2021-03-28,0.54789,0.55989,0.54026,0.54565,531126976,USD
2021-03-29,0.54556,0.57002,0.54371,0.56537,835166400,USD
2021-03-30,0.56537,0.58537,0.55924,0.56225,899983936,USD
2021-03-31,0.56225,0.57594,0.53095,0.56957,1163467008,USD
2021-04-01,0.56957,0.59179,0.5507,0.57052,1131849216,USD
2021-04-02,0.57056,0.60902,0.56574,0.60676,1274578304,USD
2021-04-03,0.60676,0.64142,0.57467,0.57886,1593778560,USD
2021-04-04,0.57886,0.63561,0.56884,0.63489,1000316992,USD
2021-04-05,0.63489,0.93557,0.61963,0.91324,5215818752,USD
2021-04-06,0.91333,1.11471,0.81318,1.09057,6430210560,USD
2021-04-07,1.09138,1.10128,0.85966,0.91658,3879456000,USD
2021-04-08,0.91658,1.07201,0.90415,1.05784,2030899712,USD
2021-04-09,1.05784,1.08335,0.9849,1.01916,1613688448,USD
2021-04-10,1.01909,1.3953,1.00711,1.37431,4314005504,USD
2021-04-11,1.37428,1.49007,1.3084,1.35498,3150189312,USD
2021-04-12,1.35479,1.4719,1.3197,1.46773,1778187776,USD
2021-04-13,1.46844,1.88626,1.42122,1.79627,4050690048,USD
2021-04-14,1.79613,1.96332,1.57032,1.83625,3576918528,USD
2021-04-15,1.83563,1.88408,1.65854,1.7578,1844900224,USD
